name,location,coordinates,type,bathroom_type,description,amenities,euros_per_night
"Grand Hotel Salerno","Salerno, Campania","40.672514, 14.775876","hotel","private","Modern 4★ hotel on Salerno’s waterfront. Provides free cooked-to-order breakfast and has its own small marina for boat excursions:contentReference[oaicite:47]{index=47}. Rooms are contemporary (many with sea-view balconies). Amenities include two restaurants, an indoor pool, and a gym – convenient base for Amalfi Coast trips.","Free breakfast; Indoor pool; Marina access; Gym; Conference facilities","120"
"Bellevue Syrene","Sorrento, Campania","40.628653, 14.375894","hotel","private","Luxurious 5★ boutique hotel **perched atop a cliff** in Sorrento. A heritage villa-turned-retreat with marvellous Gulf of Naples views:contentReference[oaicite:48]{index=48}. Decor is elegant and artful; includes a private seaside sun deck, spa, and complimentary afternoon snack/lounge for guests. Extremely romantic setting for couples.","Sea-view terrace; Spa; Private beach deck; Fine dining; Afternoon tea lounge","450"
"Le Sirenuse","Positano, Campania","40.628291, 14.483457","hotel","private","Legendary 5★ family-run hotel often ranked among the world’s best. Nestled amid Positano’s colorful houses, it sits as one of the finest hotels on the Amalfi Coast:contentReference[oaicite:49]{index=49}. Features 58 rooms adorned with antiques and hand-painted tiles, each with breathtaking Positano views:contentReference[oaicite:50]{index=50}. Offers a Michelin-starred restaurant, champagne & oyster bar, spa, and complimentary boat cruises at sunset.","Infinity pool; Michelin-star restaurant; Spa; Complimentary boat trips; Boutique shops","1000"
"Hotel Santa Caterina","Amalfi, Campania","40.634900, 14.602400","hotel","private","Historic 5★ **villa hotel overlooking the Mediterranean**. Known as “the home of hospitality” on the Amalfi Coast:contentReference[oaicite:51]{index=51}. Guests enjoy a cliffside saltwater pool and private beach club accessible by elevator, lush lemon gardens, and two upscale restaurants on-site. Combines Belle Époque elegance with modern luxury.","Cliffside pool; Private beach & elevator; Spa; Gourmet restaurant; Limousine service","600"
"Grand Hotel Quisisana","Capri, Campania","40.550700, 14.242600","hotel","private","Capri’s most famous luxury hotel, synonymous with island glamour since 1860:contentReference[oaicite:52]{index=52}. A grande dame 5★ resort in the center of Capri offering lavish rooms (many with terraces), a world-class spa, indoor & outdoor pools, and fine dining. Attracts an exclusive jet-set clientele – the epitome of La Dolce Vita.","Outdoor & indoor pools; Spa; Fine dining restaurants; Cocktail bar; Garden terrace","700"
"San Montano Resort & Spa","Ischia, Campania","40.750288, 13.890354","hotel","private","5★ hilltop resort in Ischia with spectacular 360° views of the sea. Sprawling property with **eight thermal pools** and panoramic sun terraces. Offers an award-winning spa, multiple restaurants (including sunset dining), and a serene atmosphere celebrated by guests:contentReference[oaicite:53]{index=53}. Free shuttle to a private beach area.","Thermal pools; Full-service spa; Rooftop terrace; Pool bar; Free beach shuttle","300"
"Rooftop Sea-View Apartment","Naples, Campania","40.828000, 14.247000","airbnb","private","1-bedroom penthouse with a **huge rooftop terrace** offering panoramic views of Castel dell’Ovo and the Bay of Naples:contentReference[oaicite:54]{index=54}. Midcentury-meets-rustic interior design, fully equipped kitchen, and an unbeatable central location (near waterfront and historic center). Perfect for couples seeking an unforgettable Naples stay.","Panoramic terrace; Full kitchen; Air conditioning; Wi-Fi; Washer","35"
"Casa Patrizia Apartment","Naples, Campania","40.835500, 14.245000","airbnb","private","Charming 2BR apartment in a 17th-c. building in San Ferdinando, blending vintage character with modern comforts. High ceilings, antique furnishings, and a balcony with city views give an old-world feel, while the updated kitchen/bath ensure convenience:contentReference[oaicite:55]{index=55}. One-week minimum stay for a truly local experience.","Balcony; Full kitchen; Washer; Wi-Fi; Air conditioning","130"
"Beachfront Apartment","Positano, Campania","40.627000, 14.489000","airbnb","private","Rare **beachfront flat on Positano’s main beach**, with a spacious terrace directly facing the sea and cliffs. 2 bedrooms with stylish décor and a fully equipped kitchen. A stone’s throw from cafés, boutiques and the ferry pier. Enjoy dinner or sunbathing on the private terrace with unparalleled Positano views:contentReference[oaicite:56]{index=56}.","Beachfront terrace; Full kitchen; Air conditioning; Wi-Fi; Washer","250"
"Villa Porta Donica","Ravello, Campania","40.649189, 14.611711","airbnb","private","Exclusive historic **villa with private pool** and terraced gardens overlooking the Amalfi Coast. 5 bedrooms accommodating up to 10 guests. Elegant interiors with majolica tiles and antique accents. Includes parking, Wi-Fi, full kitchen, and on-call staff/concierge. A secluded luxury retreat just 5 minutes from Ravello’s center:contentReference[oaicite:57]{index=57}.","Private infinity pool; Sea-view terraces; Garden; Full kitchen; Daily housekeeping option","800"
"B&B Domus Traiani","Benevento, Campania","41.130000, 14.780000","airbnb","private","Family-run B&B in Benevento’s historic center (near Trajan’s Arch). Offers colorful, modern rooms with private bathrooms. Hosts provide a **free breakfast buffet** of homemade pastries and local products:contentReference[oaicite:58]{index=58}. Warm hospitality and walking distance to sights make it a top choice in Benevento.","Free breakfast; Free Wi-Fi; 24/7 self-service coffee corner; Luggage storage; Nearby free parking","60"
"Paradise Beach Hostel","Forio (Ischia), Campania","40.717180, 13.865390","hostel","shared","Youthful backpacker hostel in Forio, Ischia – just 100m from the beach and surf spots. Dorms and private rooms available in a relaxed, social setting. Features a rooftop terrace, garden with hammocks, and small bar. Great base for enjoying Ischia’s beaches and nightlife on a budget.","Free Wi-Fi; Rooftop terrace; Garden lounge; Communal kitchen; Free parking","25"
"Hotel Piazza Bellini","Naples, Campania","40.851900, 14.252300","hotel","private","Trendy 3★ boutique hotel in a restored 16th-century palazzo in Naples’ historic center:contentReference[oaicite:59]{index=59}. Interior decor fuses modern art and design with historic architecture. Offers a quiet courtyard garden and a hip lounge bar – a calm sanctuary in bustling Napoli:contentReference[oaicite:60]{index=60}. Steps from the Archaeological Museum and pizzerias.","Courtyard garden; Honesty bar; Free Wi-Fi; 24/7 front desk; Tea/coffee facilities","90"
"Hotel Montestella","Salerno, Campania","40.680000, 14.759000","hotel","private","Long-running family-owned 4★ hotel on Salerno’s main pedestrian street (Corso V. Emanuele). Recently modernized rooms, some with balconies. Provides a *sophisticated yet friendly* stay near the Lungomare Trieste:contentReference[oaicite:61]{index=61}. On-site lounge, coffee bar, and a generous breakfast buffet each morning.","Free breakfast; Café/bar; Free Wi-Fi; 24-hour front desk; Elevator","80"
"Hotel Forum","Pompei, Campania","40.748000, 14.485000","hotel","private","Refined 4★ hotel directly opposite the Pompeii ruins entrance (literally across the street). Set in a garden with citrus trees. It earns praise for *friendly, attentive service and fragrant gardens* creating an inviting atmosphere:contentReference[oaicite:62]{index=62}. Offers an on-site restaurant, bar, and free private parking. Ideal for visiting the excavations.","Free breakfast; Restaurant & bar; Garden; Free parking; Tour desk","100"
"Albergo La Vigna","Procida, Campania","40.758333, 14.016667","hotel","private","Enchanting 4★ boutique hotel in a converted winery on Procida island. **A peaceful little paradise perched above the sea, surrounded by its own vineyard** that invites you to relax with a glass of wine:contentReference[oaicite:63]{index=63}. Features panoramic terraces, a jacuzzi and spa, and cozy rooms with rustic-chic décor. A short walk from Marina Corricella.","Vineyard garden; Roof terrace; Outdoor hot tub; Wine bar; Free breakfast","110"
"Royal Palace Loft Apt","Caserta, Campania","41.075000, 14.333000","airbnb","private","Stylish open-plan loft apartment **200m from the Royal Palace of Caserta**. Combines modern elegance and comfort – features a refined sleeping loft, designer furnishings, and a fully equipped kitchen:contentReference[oaicite:64]{index=64}. The highlight is a spacious terrace with views over Caserta and the palace. Secure building with elevator, perfect for short stays.","Large terrace; Full kitchen; Air conditioning; Wi-Fi; Elevator access","80"
"Vineyard Villa Taurasi","Taurasi (Avellino), Campania","41.004000, 14.990000","airbnb","private","Charming countryside villa nestled among the Taurasi vineyards in Irpinia. Offers 3 bedrooms and a pool, making it great for groups or families seeking a rural escape. Expect quiet nights and starry skies – a *relaxing holiday outside the chaos*, immersed in nature and wine country:contentReference[oaicite:65]{index=65}. Homemade breakfast and farm-to-table meals available by host.","Swimming pool; Garden & BBQ; Fireplace; Free parking; Farm-to-table meals (on request)","120"
"Palazzo Avino","Ravello, Campania","40.650000, 14.617000","hotel","private","Ultra-luxury 5★ hotel known as the **“Pink Palace”** of Ravello. *Once a 12th-century noble villa, now one of the world’s most enchanting hotels with breathtaking views and Michelin-starred dining:contentReference[oaicite:66]{index=66}*. Offers 43 rooms full of Italian antiques and marble, a cliff-edge pool, rooftop solarium, spa, and a seaside beach club (via shuttle). Service is impeccable, providing an unforgettable Amalfi Coast experience.","Outdoor heated pool; Spa & hammam; Michelin-star restaurant; Rooftop solarium; Private beach club","700"
"Aquapetra Resort & Spa","Telese Terme, Campania","41.222000, 14.566000","hotel","private","Secluded 4★ spa resort set in a restored stone hamlet amid oak hills in Benevento. Blends rustic charm with modern wellness – *historical beauty meets high-end aquatic wellness* here:contentReference[oaicite:67]{index=67}. Features a large outdoor pool, heated indoor pool, jacuzzi, Turkish bath, and a fine restaurant in a converted winery. Popular for weekend getaways and weddings, offering peace and relaxation in the countryside.","Outdoor & indoor pools; Full spa (sauna, steam room); Wine bar/restaurant; Gardens; Free parking","200"
