location,coordinates,type,cuisine,description,euros per person
"Antichi Sapori (Montegrosso, Puglia)","","casual restaurant","Trattoria (Puglian slow food)","Celebrated countryside osteria in rural Puglia run by chef Pietro Zito. A pioneer of farm-to-table dining, it serves rustic Apulian dishes made from ingredients grown in its own gardens (homemade bread, foraged herbs, local olive oil) in a cozy, unpretentious setting.","40-60"
"Trattoria del Caveoso (Matera)","","casual restaurant","Trattoria (Lucanian)","Atmospheric trattoria built into a stone cave in Matera’s Sassi district. Specializes in hearty Lucanian cuisine such as homemade orecchiette with tomato sauce, pezzente sausage, and crispy peperoni cruschi. Candle-lit grotto setting provides a historic charm.","25-40"
"Pizzeria Di Matteo (Naples)","","takeout","Pizzeria & fried street food","Popular pizzeria and friggitoria on Via Tribunali known for its street food. Famed for its fried delights like arancini and frittatine, alongside classic wood-fired pizzas you can fold and eat on the go – even Bill Clinton stopped here for a slice in 1994.","5-10"
"Il Cuoppo (Naples)","","takeout","Street food stall","Tiny street-food stall in Naples specializing in **'o cuoppo**, the paper cone of mixed fried goodies. Serves piping hot bites like calamari, shrimp, mozzarella bites and zucchini blossoms – a quintessential Neapolitan snack to enjoy while strolling.","5-10"
"Panificio Fiore (Bari)","","takeout","Bakery (focaccia)","Hole-in-the-wall bakery in Bari Vecchia famed for its focaccia barese. Locals and tourists line up for squares of oily, crunchy-edged focaccia topped with tomatoes, olives, and oregano – arguably the tastiest (and cheapest) lunch in town, fresh from the oven.","2-5"
"Caseificio Borderi (Ortigia, Siracusa)","","takeout","Deli (sandwiches)","Family-owned cheese shop and deli stand in the Ortigia market, world-famous for its colossal made-to-order panini. The cheerful Borderi family stacks local cheeses, cured meats, veggies, and sauces into epic sandwiches – an entertaining show and a delicious bargain meal.","5-10"
"Salumeria da Aldo (Capri)","","takeout","Deli (sandwiches)","Unassuming deli near Capri’s Marina Grande that has achieved cult status for its simple yet sublime sandwiches. Fresh baked bread stuffed with mozzarella, prosciutto, tomato, basil and a drizzle of olive oil – the perfect beach picnic, often enjoyed right on the pier.","5-10"
"I Cuochini (Palermo)","","takeout","Street food (fried snacks)","Hidden gem in Palermo: a tiny, centuries-old fry shop tucked in an alley, selling bite-sized arancine, meatballs, timballetti and other fritti. A classic stop for authentic Palermitano street finger food, still wrapped in paper and perfect for an on-the-go nibble.","2-5"
"Pescaria (Polignano a Mare)","","takeout","Street food (seafood)","Trendy fast-casual spot that originated in Polignano, known for its gourmet seafood sandwiches. Offers creative Apulian street food like octopus burgers, tuna tartare rolls, and fried fish cones. Popular with the Instagram crowd – expect a line during peak hours.","10-20"
"Gelateria Cesare (Reggio Calabria)","","takeout","Gelateria","Historic gelato shop by Reggio’s seafront (in business for over a century). Famous for its bergamot gelato made from local Calabrian citrus, along with a variety of classic and innovative flavors. A must-stop for a refreshing cone while strolling the Lungomare Falcomatà.","2-5"
