location,coordinates,description,euros_per_person
"Ischia Thermal Spa (Poseidon Gardens)","40.7319, 13.8813","Thermal park with 20+ volcanic mineral pools, saunas, private beach, and sea-view gardens. Offers spa treatments.","35"
"Bagni della Regina Giovanna (Sorrento)","40.6322, 14.3433","Natural emerald swimming cove beneath Roman ruins, connected to the sea by an arch. Scenic and free; water shoes recommended.","0"
"Pizza-Making Class (Naples)","40.8425, 14.2543","Hands-on workshop with a pizzaiolo to make Neapolitan pizza in a wood-fired oven. Includes ingredients and a meal.","50"
"Naples Street Food Tour","40.8478, 14.2581","Guided tasting tour in Naples featuring sfogliatella, fried seafood cuoppo, arancini/supplì, and fried pizza.","30"
"Buffalo Mozzarella Farm Tour (Paestum)","40.4380, 15.0381","Visit a buffalo farm to see mozzarella production and enjoy tastings of fresh mozzarella, ricotta, or gelato.","3"
"Mt. Vesuvius Vineyard Wine Tasting","40.8303, 14.4235","Wine tasting of Lacryma Christi and other volcanic wines paired with lunch. Vineyard tour included.","30"
"Sorrento Lemon Grove Tour & Limoncello","40.6263, 14.3758","Tour citrus orchards, learn limoncello production, and sample lemon products like cakes and flavored olive oils.","10"
"Via Toledo & Spanish Quarter (Naples)","40.8431, 14.2465","Main shopping street with boutiques, cafés, and Galleria Umberto. Nearby Spanish Quarter offers street art and local culture.","0"
"La Reggia Designer Outlet (Caserta)","41.0312, 14.2890","Large outlet mall with 140+ Italian/international fashion brands offering major discounts. Village-style layout.","0"
"Vietri sul Mare Ceramics District","40.6722, 14.7269","Town known for artisanal hand-painted ceramics featuring Mediterranean motifs. Many shops ship internationally.","0"
"San Gregorio Armeno (Naples)","40.8480, 14.2589","Street of year-round Nativity-scene artisan workshops crafting figurines and miniature buildings.","0"
"Private Yacht Charter (Amalfi Coast)","40.6276, 14.6042","Luxury yacht day trip along the Amalfi Coast with a skipper, champagne, sunbeds, swimming stops, and custom itinerary.","500"
"Helicopter Tour (Bay of Naples)","40.8285, 14.1935","Private helicopter flight offering aerial views of Naples, Vesuvius, Capri, and the Amalfi Coast.","250"
